doi
10.3390/s18072248
10.5875/ausmt.v1i2.124
10.1016/j.envsci.2003.08.002
10.1186/1476-072x-9-46
10.1007/s10708-017-9840-5
10.1108/14777830710731725
10.1016/j.biocon.2008.11.014
10.1007/978-94-007-4839-2_4
10.1111/1467-7717.00197
10.1108/dpm-09-2022-0186
10.14214/sf.9923
10.1080/01431160500383772
10.1080/10635150252899806
10.1016/j.ecoser.2015.04.007
10.1061/9780784408155.ch03
10.1111/2041-210x.13487
10.18517/ijaseit.8.6.7486
10.1007/s10712-022-09740-1
10.1201/b17802
10.1007/s12524-008-0037-8
10.1007/s10198-020-01171-2
10.1002/rse2.61
10.1016/j.spacepol.2008.09.008
10.1590/1519-6984.277283
10.1017/s0376892912000331
10.1080/08941920490261276
10.1080/01431161.2016.1196840
10.1017/s1466046603031065
10.1515/opar-2016-0018
10.1016/b978-0-12-409548-9.10521-4
10.1071/wf21019
10.3390/rs12172684
10.1016/j.spacepol.2003.11.003
10.4324/9781315259901-4
10.3389/fmars.2022.816666
10.3390/ijgi6080238
10.1007/978-3-319-06326-3_18
10.1016/j.rse.2020.111892
10.1016/j.atmosenv.2015.07.002
10.1007/s11676-015-0088-y
10.1016/j.spacepol.2013.06.003
10.3390/ijgi8070292
10.3389/fsufs.2020.00058
10.1007/978-94-007-4839-2_10
10.1016/j.spacepol.2019.101346
10.1007/3-540-26676-3_3
10.1016/j.marpolbul.2010.07.002
10.4018/978-1-7998-1851-9.ch016
10.1016/j.spacepol.2022.101507
10.1007/978-3-319-20161-0_14
10.3390/rs11040406
10.3390/rs15102564
10.1016/j.biocon.2009.04.023
10.3390/su13115967
10.1201/b20712
10.1007/s10712-020-09586-5
10.3390/s19194066
10.1016/j.actaastro.2020.06.031
10.11834/jrs.20210260
10.14358/pers.79.10.915
10.7780/kjrs.2023.39.5.4.2
10.3390/ijerph2006030028
10.3390/rs10121887
10.1016/j.strueco.2023.09.003
10.1006/jare.2001.0984
10.1016/j.jag.2020.102126
10.1016/j.isprsjprs.2016.11.001
10.4000/developpementdurable.17778
10.1111/1365-2664.12755
10.1016/j.spacepol.2003.08.003
10.4314/sajg.v7i1.3
10.1017/9781108631129.006
10.1016/j.actaastro.2012.08.016
10.1007/978-94-024-1071-6_14
10.1007/s11069-013-0579-0
10.4031/002533207787442097
10.1016/j.spacepol.2006.09.001
10.1016/j.ocecoaman.2008.04.006
10.7160/aol.2022.140109
10.1029/2022av000680
10.1007/978-0-387-36699-9_48
10.1016/s0168-1699(02)00141-2
10.11834/jrs.20210230
10.1016/j.rse.2004.05.002
10.1007/s11119-008-9065-1
10.25260/ea.19.29.3.0.791
10.3390/smartcities6020046
10.1504/ijetm.2020.114134
10.1186/s40490-015-0044-9
10.1111/1540-6237.00081
10.1016/s0006-3207(02)00415-9
10.1109/mgrs.2019.2941751
10.1080/01431160802168301
10.1007/s12524-020-01280-8
10.2478/ecoq-2013-0018
10.1029/2023gh000890
10.1016/j.rse.2021.112588
10.15287/afr.2023.2987
10.1614/ws-04-072r1
10.3389/fpls.2023.1230012
10.1002/9781119536789.ch8
10.1016/j.jenvman.2017.06.045
10.1088/1748-9326/4/2/024009
10.1080/10962247.2016.1248303
10.1051/lhb/2020049
10.1201/b15628
10.1111/rec.12448
10.1016/j.scitotenv.2020.136956
10.3390/rs14102488
10.1016/j.jnc.2010.07.003
10.3389/fenvs.2022.804862
10.1016/j.rse.2019.111369
10.1038/s41467-020-16185-w
10.1108/aeat-11-2020-0247
10.1089/big.2014.0061
10.1117/12.454211
10.1016/j.ecoinf.2021.101474
10.1111/rec.13724
10.1016/j.rse.2015.10.025
10.1111/1752-1688.12371
10.1007/s11277-023-10433-0
10.1007/3-540-27468-5_60
10.3141/2645-01
10.1016/j.rse.2003.06.007
10.1016/j.tree.2019.01.009
10.1016/j.envsoft.2010.04.003
10.1029/2017wr022437
10.1016/0302-184x(76)90011-1
10.4324/9780429047237-18
