topics,Griffiths2004,CaoJuan2009,Arun2010,Deveaud2014
40,-3815563.135477805,0.09841662411608952,21.79680585060117,1.49437809591156
35,-3810155.394093784,0.10788829137298205,21.02106897393701,1.5831248933401834
30,-3780914.1816130774,0.11228932792791055,19.458210494402678,1.672699530030945
25,-3825866.0484451456,0.14115664961677005,22.874383332619033,1.6861411570822522
20,-3832282.1760543976,0.1545035842437668,23.084944597059085,1.7473960357817275
18,-3872235.826297424,0.18760589078398462,25.428951666510414,1.702502997882226
16,-3906397.2598578804,0.26397324588149884,23.75690310914042,1.507623011532633
14,-3915008.797709451,0.1953677063752366,24.491364772136276,1.7125917767885064
12,-3932525.5926623056,0.2984132733018853,26.556341276910555,1.5060407311957233
10,-3945509.9412636464,0.3246942011261923,27.263956733938393,1.438571070473095
9,-3977685.607633383,0.3778575732832801,29.372489413007784,1.3611468474595814
8,-3987826.309071747,0.37094248143792524,30.65843886664835,1.3640490546276351
7,-4010453.2240396817,0.39418961811482917,32.55065066702816,1.3389420776191805
6,-4029076.217791767,0.4118267532978145,33.409926589697434,1.3240690679510536
5,-4067373.181856257,0.4781259424215357,36.53395317945719,1.1895821186555477
4,-4098333.005900771,0.49127067312871714,38.5007016247176,1.1156082286590772
3,-4149553.2814051877,0.5339705139517849,40.57252563682788,1.0356736371744715
2,-4218226.667356068,0.6145388352805162,45.73694473826053,0.910668838404338
