k,perplexity
2,2519.725320350762
3,2438.8880384197287
4,2393.2689562359265
5,2382.716026406391
6,2337.7863701411084
7,2308.4582892017456
8,2312.957853892589
9,2328.8453345524904
10,2244.0802606422503
12,2247.053255985266
14,2287.4893085185026
16,2269.533509490019
18,2244.0521010551574
20,2240.897685875602
25,2252.569836513588
30,2262.5094552801033
35,2272.7828888858153
40,2266.9042301554014
45,2282.1094785253945
50,2288.7477452987496
75,2392.262205494905
100,2509.8751588786445
