topic,term,prob
topic 10,total,0.0020034457430717877
topic 10,morphometric,0.001991182604347649
topic 10,environment,0.0019515603050666438
topic 10,generated,0.0019440489143074567
topic 10,found,0.0019276696764520026
topic 10,evaluation,0.001923907956492207
topic 10,characteristics,0.0019168808908070765
topic 10,probability,0.0019058322679605926
topic 10,field,0.0018915430875600311
topic 10,geographic,0.0018825588453728235
topic 10,hazards,0.0018697163604557122
topic 10,hierarchy,0.0018690740896549329
topic 10,development,0.0018636692402063623
topic 10,events,0.0018578362428452776
topic 10,extreme,0.0018385508315441773
topic 10,integrated,0.00179051529333278
topic 10,due,0.0017866847543304644
topic 10,result,0.0017827547603016256
topic 10,techniques,0.0017595907448873936
topic 10,priority,0.0017418953684694702
topic 11,water,0.04704002879803273
topic 11,model,0.01196455181698901
topic 11,soil,0.010621933209452112
topic 11,data,0.010506557184803813
topic 11,surface,0.009062170085523995
topic 11,study,0.008899919967808437
topic 11,management,0.0081633314897339
topic 11,irrigation,0.007589435807053618
topic 11,moisture,0.0075142623939030845
topic 11,crop,0.007445938430281237
topic 11,basin,0.007044292031556241
topic 11,based,0.0067108879443269305
topic 11,snow,0.006558956074712882
topic 11,results,0.006546887044084478
topic 11,resources,0.00641402992431183
topic 11,river,0.006000390963101521
topic 11,precipitation,0.00579116551336957
topic 11,evapotranspiration,0.0057123145265449565
topic 11,drought,0.005638786654328231
topic 11,climate,0.005540255149301724
topic 11,temperature,0.00537809542268367
topic 11,remote,0.005220067756964161
topic 11,agricultural,0.005190424063301684
topic 11,spatial,0.005187360966603492
topic 11,sensing,0.004938758929017357
topic 11,satellite,0.004815255563712722
topic 11,land,0.004431212369920702
topic 11,resolution,0.004177355881323
topic 11,runoff,0.004137236675900958
topic 11,hydrological,0.004058759874683035
topic 11,global,0.00389230962713119
topic 11,daily,0.0038784035450489607
topic 11,scale,0.00376848277753581
topic 11,balance,0.003502282224543001
topic 11,estimates,0.003491127067643137
topic 11,energy,0.0033637410326878246
topic 11,yield,0.00331659054716394
topic 11,regions,0.0032228000377888945
topic 11,values,0.0032213905929580878
topic 11,time,0.0031100257527589396
topic 11,groundwater,0.0031098031334653403
topic 11,estimated,0.0031028935099020032
topic 11,observations,0.003089849942855004
topic 11,index,0.003057296209373207
topic 11,storage,0.003047088155544082
topic 11,cover,0.003043985597208927
topic 11,method,0.003004649374705171
topic 11,annual,0.002922493367442878
topic 11,models,0.00291092575351371
topic 11,region,0.002861423076989175
topic 11,average,0.0028374272575038043
topic 11,resource,0.0028006730329625884
topic 11,temporal,0.0027674754361142005
topic 11,vegetation,0.0026819035262011
topic 11,season,0.0026792027466942875
topic 11,regional,0.0026723703599651665
topic 11,rainfall,0.002671313164259424
topic 11,modis,0.002611922639738935
topic 11,variability,0.00260199690017026
topic 11,hydrologic,0.002562654756244697
topic 11,seasonal,0.0025278802786703647
topic 11,potential,0.002438849594326348
topic 11,estimation,0.0024170607448389726
topic 11,measurements,0.002416208717810106
topic 11,observed,0.0023433222547476185
topic 11,system,0.002341272808511858
topic 11,correlation,0.002339508242524798
topic 11,conditions,0.002293600077011317
topic 11,products,0.002264241431309357
topic 11,arid,0.0022014428053565333
topic 11,compared,0.0022012096166273694
topic 11,period,0.002170313408555544
topic 11,actual,0.0021381323428912207
topic 11,performance,0.002105759438007239
topic 11,monthly,0.0019900132349151807
topic 11,change,0.0019757058613018128
topic 11,wheat,0.001974394221860551
topic 11,estimate,0.0019487077171913695
topic 11,assimilation,0.0019204042580936523
topic 11,variations,0.0019056317800993804
topic 11,approach,0.0019051415292292483
topic 11,landsat,0.0019032932892186656
topic 11,total,0.0018989883595699557
topic 11,situ,0.0018879069411772038
topic 11,significant,0.0018705900719307182
topic 11,analysis,0.0018618182312010953
topic 11,datasets,0.0018536156021968864
topic 11,reservoir,0.0018363714094697954
topic 11,crops,0.0018340938851584393
topic 11,meteorological,0.0018074364603874995
topic 11,china,0.0018053346594496572
topic 11,basins,0.001801366124197585
topic 11,scales,0.001784290879902346
topic 11,derived,0.001782493823733446
topic 11,coefficient,0.001778190146930275
topic 11,discharge,0.0017576152959538577
topic 11,modeling,0.0017356305429918467
topic 11,maximum,0.0017279985413073539
topic 11,field,0.001691966541275201
topic 11,production,0.0016738908555625524
topic 12,habitat,0.025818645223176527
topic 12,species,0.019881507434348276
topic 12,conservation,0.01589589578159661
topic 12,management,0.00867471005338787
topic 12,data,0.008303121343316146
topic 12,marine,0.008001847804319432
topic 12,distribution,0.007048644566600147
topic 12,sea,0.006694656592259065
topic 12,habitats,0.006505190836397346
topic 12,coastal,0.005197822952521138
topic 12,spatial,0.004992001175070401
topic 12,biodiversity,0.004958087259257957
topic 12,satellite,0.0047013826968866
topic 12,protected,0.004673929473860111
topic 12,models,0.004331416496148056
topic 12,model,0.004212090982444661
topic 12,population,0.00402748859749122
topic 12,environmental,0.003764627384625705
topic 12,scale,0.003691179100235557
topic 12,reef,0.0035837343213774506
topic 12,coral,0.0035060291884660027
topic 12,range,0.003492850164129996
topic 12,study,0.003443136929424634
topic 12,breeding,0.0033616502727366873
topic 12,based,0.0033572397071944655
topic 12,sites,0.003186492449741423
topic 12,potential,0.003115713498238593
topic 12,movement,0.0031143101043259497
topic 12,information,0.0030648419273508424
topic 12,populations,0.0030361494296996384
topic 12,wildlife,0.002968710332286201
topic 12,birds,0.002917874855543778
topic 12,fish,0.0028149464093167012
topic 12,fisheries,0.002810792374384089
topic 12,results,0.0026920305837813256
topic 12,patterns,0.002653422213988469
topic 12,abundance,0.002636203222549396
topic 12,suitability,0.0025590689936416996
topic 12,ocean,0.0025462788672824133
topic 12,ecological,0.0024778659918865092
topic 12,fishing,0.0024139218150752784
topic 12,region,0.0023344513905353952
topic 12,foraging,0.0023162583135882078
topic 12,benefit,0.002315327815050208
topic 12,migratory,0.0022277820482011863
topic 12,provide,0.002157596199958454
topic 12,scales,0.0021082174259286607
topic 12,variables,0.002085698637367302
topic 12,key,0.002079180606982829
topic 12,presence,0.00206548615615114
topic 12,locations,0.002048685441086454
topic 12,migration,0.002041451854083515
topic 12,turtles,0.0020081416923356022
topic 12,gulf,0.0019712434193232997
topic 12,time,0.0019410079050198028
topic 12,predicted,0.0019210545335897385
topic 12,knowledge,0.001904939337829824
topic 12,protection,0.0018939931679411053
topic 12,southern,0.0018886778902472646
topic 12,shoreline,0.0018526577217034981
topic 12,individuals,0.0018419142543918347
topic 12,suitable,0.0018389611394303215
topic 12,including,0.0018223153735185261
topic 12,reefs,0.0018192517071226758
topic 12,north,0.0018154146744756967
topic 12,planning,0.0018132012865855612
topic 12,sensed,0.001796500742910239
topic 12,approach,0.001785441295077296
topic 12,tracking,0.0017811464508083717
topic 12,bird,0.001780537595606676
topic 12,telemetry,0.001779919161286363
topic 12,identify,0.0017646625766972565
topic 12,current,0.0017614615126831058
topic 12,ecosystem,0.0017436705047078295
topic 12,effective,0.0017378346394468672
topic 12,remotely,0.0017365879169114018
topic 12,understanding,0.0017254797147589352
topic 12,movements,0.0016991316250325815
topic 12,density,0.001683244419305214
topic 12,conditions,0.0016775754830074682
topic 12,developed,0.0016753331788760002
topic 12,local,0.0016692858447025704
topic 12,seagrass,0.0016682078503368137
topic 12,remote,0.0016175492691671513
topic 12,season,0.0015466623505522958
topic 12,highly,0.0015356537597841426
topic 12,northern,0.0015306532597592925
topic 12,extent,0.0015098888817794993
topic 12,biological,0.001501462217585308
topic 12,studies,0.0014870715062123094
topic 12,surveys,0.0014756666215790212
topic 12,identified,0.0014714544359170612
topic 12,south,0.0014617121351537064
topic 12,selection,0.0014612447189008284
topic 12,fishery,0.0014611995201652787
topic 12,ecosystems,0.0014590659945208208
topic 12,nesting,0.0014433515217204711
topic 12,structure,0.0014259345039889602
topic 12,size,0.0014168468605417416
topic 12,relative,0.0013941251628754826
topic 13,model,0.013303424478850103
topic 13,data,0.012765705953796504
topic 13,emissions,0.011467521556609761
topic 13,carbon,0.011136522416576637
topic 13,models,0.008390213449201262
topic 13,air,0.008169008179070798
topic 13,forest,0.00797169285633073
topic 13,variables,0.006272212965847756
topic 13,based,0.005602570050052701
topic 13,spatial,0.005462633586134211
topic 13,emission,0.0051868474392082475
topic 13,quality,0.004384988216289829
topic 13,environmental,0.004265908404023738
topic 13,surface,0.004213610684443954
topic 13,climate,0.004146745657552181
topic 13,resolution,0.004132616937233672
topic 13,satellite,0.004005154206105164
topic 13,results,0.0039787087485187965
topic 13,pollution,0.003964616041583797
topic 13,lidar,0.0039137088393419684
topic 13,observations,0.003810407848943556
topic 13,global,0.0035422310973961327
topic 13,health,0.0034994491776662627
topic 13,sensing,0.0033569387804979122
topic 13,estimates,0.0033386542580630917
topic 13,species,0.0032746659432134223
topic 13,study,0.003271262548507441
topic 13,remote,0.003243400021328238
topic 13,inventory,0.003192964174690207
topic 13,concentration,0.0031654113061691026
topic 13,distribution,0.0030534833626533545
topic 13,measurements,0.002998995410309582
topic 13,scale,0.0028693046873220942
topic 13,exposure,0.002810532675889833
topic 13,management,0.0027785004294245425
topic 13,ozone,0.0027690162449229773
topic 13,power,0.0025703551384407193
topic 13,total,0.002541329647295639
topic 13,regional,0.002539651796626672
topic 13,estimate,0.002511353185604208
topic 13,metrics,0.0025072059764497247
topic 13,atmospheric,0.0024960001804765967
topic 13,system,0.002456751603657935
topic 13,concentrations,0.002446510368067666
topic 13,height,0.0024083104057087174
topic 13,ground,0.0024034730551777367
topic 13,tree,0.0024013709524524727
topic 13,regression,0.002364534208931482
topic 13,studies,0.0022629894406616924
topic 13,methane,0.0022603844290906036
topic 13,derived,0.0022103253474340047
topic 13,future,0.0022092680117511395
topic 13,level,0.0022033139079933196
topic 13,predictive,0.0021688768444341803
topic 13,biomass,0.002160176992481746
topic 13,china,0.0021114439440540144
topic 13,estimated,0.0021094098106869915
topic 13,aerosol,0.002086932989591264
topic 13,anthropogenic,0.0020672822818344474
topic 13,predictors,0.0020525006207230342
topic 13,compared,0.0020048295702280393
topic 13,field,0.002001506650140714
topic 13,information,0.002000864370148558
topic 13,regions,0.0019665598775788174
topic 13,region,0.001961582704361837
topic 13,nox,0.001938926047289305
topic 13,observed,0.0019044594088660004
topic 13,improved,0.0018848836406949658
topic 13,stock,0.0018816524081537887
topic 13,estimation,0.0018667318280117143
topic 13,related,0.001861486028471316
topic 13,approach,0.0018566638033506657
topic 13,boundary,0.0018541109376337497
topic 13,average,0.0018248482506647108
topic 13,source,0.001811233626602142
topic 13,change,0.001810905373111727
topic 13,reduction,0.0017696023856877564
topic 13,monitoring,0.0017657381871090797
topic 13,spatially,0.0017563569084413635
topic 13,simulation,0.0017370268418293161
topic 13,ecosystem,0.0017319042937468513
topic 13,forests,0.0017314647070865458
topic 13,found,0.0016943032408282342
topic 13,sites,0.0016933290684870697
topic 13,modelling,0.0016856821662951976
topic 13,uncertainty,0.001666122099029328
topic 13,predictor,0.0016627967846898635
topic 13,utility,0.0016587425829359993
topic 13,gas,0.0016579502893005504
topic 13,potential,0.0016351714827858657
topic 13,modeling,0.0016206984074668854
topic 13,provide,0.001619133015695963
topic 13,independent,0.001595813630484594
topic 13,obtained,0.0015241365723991055
topic 13,net,0.0015184082946650378
topic 13,sources,0.001510474400618349
topic 13,fine,0.001508772820817976
topic 13,dust,0.0015087652495602683
topic 13,assimilation,0.0014917923806245644
topic 13,i.e,0.0014731773211085555
topic 14,land,0.04107041267836613
topic 14,ecosystem,0.022210041549524863
topic 14,ecological,0.015170777273843779
