doc_id,topic,prob
3,topic 1,0.23814317576271865
3,topic 2,2.246322613839735e-4
3,topic 3,2.2463226138396992e-4
3,topic 4,2.2463226138402282e-4
3,topic 5,2.2463226138401778e-4
3,topic 6,0.04547103889044824
3,topic 7,0.25972975654468367
3,topic 8,2.2463226138420513e-4
3,topic 9,2.2463226138391237e-4
3,topic 10,0.45440970618830917
3,topic 11,2.2463226138400252e-4
3,topic 12,2.246322613840421e-4
3,topic 13,2.2463226138400325e-4
3,topic 14,2.246322613840519e-4
7,topic 1,3.1659498244640674e-4
7,topic 2,3.165949824458426e-4
7,topic 3,0.28607551187770164
7,topic 4,3.1659498244602786e-4
7,topic 5,3.165949824460914e-4
7,topic 6,0.7101253483329458
7,topic 7,3.165949824459515e-4
7,topic 8,3.165949824461755e-4
7,topic 9,3.1659498244576516e-4
7,topic 10,3.1659498244599084e-4
7,topic 11,3.1659498244643205e-4
7,topic 12,3.1659498244569545e-4
7,topic 13,3.1659498244608234e-4
7,topic 14,3.165949824460968e-4
18,topic 1,2.0077418200795753e-4
18,topic 2,2.0077418200792495e-4
18,topic 3,2.007741820078653e-4
18,topic 4,2.007741820080014e-4
18,topic 5,0.021033564474107692
18,topic 6,2.0077418200800052e-4
18,topic 7,2.0077418200790034e-4
18,topic 8,2.0077418200793186e-4
18,topic 9,2.00774182007864e-4
18,topic 10,2.0077418200786074e-4
18,topic 11,2.0077418200793368e-4
18,topic 12,0.9765571453417967
18,topic 13,2.0077418200809433e-4
18,topic 14,2.0077418200820565e-4
19,topic 1,0.4856868413789041
19,topic 2,2.568494254201811e-4
19,topic 3,2.568494254203132e-4
19,topic 4,2.5684942542033765e-4
19,topic 5,2.56849425420623e-4
19,topic 6,0.5112309655160522
19,topic 7,2.5684942542020104e-4
19,topic 8,2.5684942542047936e-4
19,topic 9,2.568494254203855e-4
19,topic 10,2.5684942542040124e-4
19,topic 11,2.568494254202635e-4
19,topic 12,2.568494254202243e-4
19,topic 13,2.5684942542019004e-4
19,topic 14,2.568494254202018e-4
21,topic 1,2.4932139916713277e-4
21,topic 2,0.0245444950616834
21,topic 3,2.49321399167365e-4
21,topic 4,2.4932139916742925e-4
21,topic 5,2.493213991674976e-4
21,topic 6,2.493213991676952e-4
21,topic 7,2.4932139916729123e-4
21,topic 8,2.4932139916732527e-4
21,topic 9,2.493213991672098e-4
21,topic 10,2.4932139916741813e-4
21,topic 11,2.493213991673075e-4
21,topic 12,2.493213991672664e-4
21,topic 13,2.493213991672262e-4
21,topic 14,0.9724636481483084
22,topic 1,2.3715737671884353e-4
22,topic 2,2.371573767190667e-4
22,topic 3,0.9756001558231086
22,topic 4,2.3715737671886196e-4
22,topic 5,2.371573767193643e-4
22,topic 6,2.371573767189407e-4
22,topic 7,2.3715737671914014e-4
22,topic 8,2.3715737671901034e-4
22,topic 9,2.3715737671902711e-4
22,topic 10,2.3715737671896667e-4
22,topic 11,0.021553955656263248
22,topic 12,2.3715737671903554e-4
22,topic 13,2.3715737671902308e-4
22,topic 14,2.371573767189449e-4
25,topic 1,2.3072495976795323e-4
25,topic 2,2.3072495976820238e-4
25,topic 3,2.3072495976787457e-4
25,topic 4,2.3072495976796237e-4
25,topic 5,2.3072495976810993e-4
25,topic 6,2.3072495976793838e-4
25,topic 7,2.3072495976785273e-4
25,topic 8,2.3072495976818308e-4
25,topic 9,2.3072495976824876e-4
25,topic 10,0.9970005755230156
25,topic 11,2.3072495976811e-4
25,topic 12,2.3072495976789422e-4
25,topic 13,2.307249597680729e-4
25,topic 14,2.3072495976800324e-4
27,topic 1,2.824328081759221e-4
27,topic 2,2.8243280817586265e-4
27,topic 3,0.3501378704536331
