topic,term,prob
topic 1,land,0.03875176254161038
topic 1,urban,0.018286571196188206
topic 1,ecosystem,0.01607403969971993
topic 1,ecological,0.015317166416692167
topic 1,study,0.013605908410904307
topic 1,service,0.01255979107911767
topic 1,change,0.012511535016939728
topic 1,increase,0.011741411811586375
topic 1,forest,0.011056822217295367
topic 1,cover,0.009740915110775003
topic 1,result,0.009288676821117248
topic 1,development,0.008635373053371512
topic 1,city,0.008435962556695587
topic 1,spatial,0.008166579907816676
topic 1,landscape,0.007787479645650962
topic 1,region,0.006488646231456169
topic 1,decrease,0.00630347586157626
topic 1,china,0.006035306138949144
topic 1,economic,0.005623257959964357
topic 1,pattern,0.005398207633518336
topic 1,policy,0.005326421485054445
topic 1,environmental,0.004944625962936371
topic 1,trend,0.0048402272303965915
topic 1,environment,0.004712699598023001
topic 1,index,0.004647272382168363
topic 1,base,0.004588303030639113
topic 1,analysis,0.0043624870130472065
topic 1,factor,0.004260499002491056
topic 1,sustainable,0.004239334096601855
topic 1,impact,0.0042347751093563726
topic 1,green,0.004205983481132351
topic 1,natural,0.004111707989342502
topic 1,datum,0.004101692906242475
topic 1,carbon,0.004086560546201441
topic 1,lulc,0.004085671287578597
topic 1,remote,0.004069044337150693
topic 1,period,0.00405370280734047
topic 1,human,0.004039368858265632
topic 1,analyze,0.0037782138014275496
topic 1,type,0.0037726478851275135
topic 1,wetland,0.0036827708688003742
topic 1,effect,0.0036256067019549637
topic 1,value,0.0036232264398666945
topic 1,agricultural,0.0035972948053252
topic 1,urbanization,0.0035946806655583418
topic 1,regional,0.0035175810477924845
topic 1,total,0.0034913316580143165
topic 1,expansion,0.0034561696104768854
topic 1,vegetation,0.0034517014108673525
topic 1,provide,0.0034338537079094305
topic 1,image,0.003427851126640478
topic 1,low,0.0033295928948352655
topic 1,management,0.0032205613996431157
topic 1,quality,0.003220029286008191
topic 1,growth,0.0031875101450882944
topic 1,research,0.0031840705090724303
topic 1,dynamic,0.0030412406637182403
topic 1,function,0.0030200280280631093
topic 1,landsat,0.0029860201642777986
topic 1,level,0.0029784463709539347
topic 1,degradation,0.002964844011262296
topic 1,grassland,0.002954799154897358
topic 1,esv,0.00294852702734781
topic 1,build,0.0029378056750371476
topic 1,activity,0.0028469520561079484
topic 1,water,0.0028468647407837444
topic 1,significant,0.002845849906556724
topic 1,population,0.002839380912729566
topic 1,protection,0.00283588863007284
topic 1,resource,0.0027396875922932155
topic 1,temporal,0.0027172576341217263
topic 1,planning,0.0027122826249890565
topic 1,river,0.002615152079530731
topic 1,scale,0.0025999699486936386
topic 1,climate,0.0025794742160499587
topic 1,construction,0.0025096220191942187
topic 1,conservation,0.0024922728863569893
topic 1,loss,0.0024876537669683593
topic 1,space,0.002411280777761732
topic 1,distribution,0.002394014611789122
topic 1,province,0.0023598511183690754
topic 1,future,0.002333293265605681
topic 1,benefit,0.0022992002427224636
topic 1,rural,0.002287158017648927
topic 1,restoration,0.0022634384160744245
topic 1,sense,0.0022394164876347604
topic 1,author,0.002228582740320249
topic 1,rate,0.0022172562921688667
topic 1,due,0.0021672655527262977
topic 1,sensing,0.002159595445218687
topic 1,zone,0.002156406512890797
topic 1,local,0.0021530682026665855
topic 1,county,0.002126419990572097
topic 1,social,0.0021199889039910033
topic 1,method,0.0021035975124786615
topic 1,improve,0.0020819127662295017
topic 1,model,0.002044271994440982
topic 1,main,0.0020131662775651074
topic 1,cultivate,0.001997104959214644
topic 1,process,0.0019706498117537732
topic 10,habitat,0.018939446427724493
topic 10,conservation,0.01364738801757771
topic 10,coastal,0.013641165002685996
topic 10,specie,0.01274394417251905
topic 10,wetland,0.00947484760108139
topic 10,mangrove,0.009110858660005935
topic 10,management,0.008240116687613232
topic 10,biodiversity,0.007637404160845323
topic 10,ecosystem,0.007539425333402777
topic 10,study,0.007026140156145242
topic 10,sea,0.006311247120723278
topic 10,landscape,0.006242244030788185
topic 10,datum,0.005698946060603443
topic 10,marine,0.005205578164958244
topic 10,protect,0.00509926577715326
topic 10,scale,0.00494432455762747
topic 10,distribution,0.004892450908612839
topic 10,community,0.0046793354889034
topic 10,population,0.004331056758978222
topic 10,identify,0.004099192857217236
topic 10,spatial,0.004047199160708574
topic 10,ecological,0.004029476232617447
topic 10,provide,0.0038964258110611217
topic 10,satellite,0.003562510559029566
topic 10,range,0.0035452244773087867
topic 10,potential,0.00344138758015624
topic 10,site,0.0033988537336958257
topic 10,environmental,0.0032944906613624194
topic 10,result,0.0032652500205264104
topic 10,benefit,0.003248514181385064
topic 10,increase,0.003136328079504959
topic 10,include,0.003019913441718789
topic 10,approach,0.0030138579408062237
topic 10,local,0.002991316234559802
topic 10,zone,0.0029515198904092503
topic 10,survey,0.002924141124248476
topic 10,level,0.002922862489383945
topic 10,natural,0.0029202741665794213
topic 10,base,0.0028954634218195698
topic 10,fishery,0.002878918546567543
topic 10,resource,0.002817390771043464
topic 10,analysis,0.0027279866522850176
topic 10,connectivity,0.0027262341661648997
topic 10,region,0.002720218860762193
topic 10,reef,0.002713158035696643
topic 10,human,0.002703833135141572
topic 10,park,0.002691693485818405
topic 10,coast,0.0025397541116745966
topic 10,change,0.0025247367273608383
topic 10,species,0.002523768325282007
topic 10,activity,0.002516201594590059
topic 10,island,0.002460655833223111
topic 10,fish,0.0024556448871961446
topic 10,assess,0.002445818287103777
topic 10,diversity,0.0023944029405237265
topic 10,pattern,0.0023938565754990353
topic 10,bird,0.002373191520546119
topic 10,patch,0.002324691899733012
topic 10,wildlife,0.00231121780857656
topic 10,movement,0.0023022381122904017
topic 10,information,0.002286969196084631
topic 10,remote,0.0021754208351265508
topic 10,ocean,0.002173261282514116
topic 10,impact,0.0021455856700012934
topic 10,reserve,0.002125068189502274
topic 10,map,0.0021244693505238312
topic 10,aquaculture,0.002087404175321403
topic 10,abundance,0.002083082555610877
topic 10,dynamic,0.0020792604978486875
topic 10,effort,0.002066321624954992
topic 10,fishing,0.0020593850127559542
topic 10,cover,0.002037225606134007
topic 10,animal,0.0020213831657259484
topic 10,plant,0.001972616869180812
topic 10,research,0.0019049896230598359
topic 10,support,0.0019013793309571344
topic 10,develop,0.0018946308380003597
topic 10,size,0.0018766060796869739
topic 10,location,0.0018751445171620962
topic 10,individual,0.001861489512951076
topic 10,time,0.001840653793433362
topic 10,suggest,0.001828084425525331
topic 10,current,0.0018068624807158582
topic 10,protection,0.0017895570445495
topic 10,method,0.0017745826462388838
topic 10,strategy,0.001762456916411672
topic 10,national,0.0017526922671326182
topic 10,condition,0.0017512559856041486
topic 10,coral,0.0017455739651349497
topic 10,term,0.0017158163855120641
topic 10,migration,0.001713049067853958
topic 10,importance,0.0016973518729537852
topic 10,shoreline,0.001697040631097995
topic 10,model,0.0016862002457643176
topic 10,invasive,0.0016654522491837105
topic 10,find,0.0016474668872433612
topic 10,biological,0.001642464819864537
topic 10,extent,0.0016419059385393898
topic 10,effect,0.0016248600924630458
